STATUS | wrapper  | 2013/05/22 13:28:50 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/05/22 13:28:50 | Launching a JVM...
2013.06.05 17:52:05 INFO  org.sonar.INFO  286 rules
2013.06.05 17:52:05 INFO  org.sonar.INFO  Register rules [grvy/grvy] done: 172 ms
2013.06.05 17:52:05 INFO  org.sonar.INFO  Register rules [checkstyle/java]...
2013.06.05 17:52:05 INFO  org.sonar.INFO  128 rules
2013.06.05 17:52:05 INFO  org.sonar.INFO  Register rules [checkstyle/java] done: 296 ms
2013.06.05 17:52:05 INFO  org.sonar.INFO  Register rules [pmd/java]...
2013.06.05 17:52:06 INFO  org.sonar.INFO  232 rules
2013.06.05 17:52:06 INFO  org.sonar.INFO  Register rules [pmd/java] done: 468 ms
2013.06.05 17:52:06 INFO  org.sonar.INFO  Register rules [pmd-unit-tests/java]...
2013.06.05 17:52:06 INFO  org.sonar.INFO  10 rules
2013.06.05 17:52:06 INFO  org.sonar.INFO  Register rules [pmd-unit-tests/java] done: 47 ms
2013.06.05 17:52:06 INFO  org.sonar.INFO  Register rules [squid/java]...
2013.06.05 17:52:06 INFO  org.sonar.INFO  18 rules
2013.06.05 17:52:06 INFO  org.sonar.INFO  Register rules [squid/java] done: 94 ms
2013.06.05 17:52:06 INFO  org.sonar.INFO  Register rules [common-java/java]...
2013.06.05 17:52:06 INFO  org.sonar.INFO  6 rules
2013.06.05 17:52:06 INFO  org.sonar.INFO  Register rules [common-java/java] done: 0 ms
2013.06.05 17:52:06 INFO  org.sonar.INFO  Disable deprecated user rules...
2013.06.05 17:52:06 INFO  org.sonar.INFO  Disable deprecated user rules done: 31 ms
2013.06.05 17:52:06 INFO  o.s.s.s.RegisterNewProfiles  Register Quality Profiles...
2013.06.05 17:52:08 INFO  o.s.s.s.RegisterNewProfiles  Register Quality Profiles done: 2216 ms
2013.06.05 17:52:08 INFO  o.s.s.s.RegisterQualityModels  Register Quality Models...
2013.06.05 17:52:08 INFO  o.s.s.s.RegisterQualityModels  Register Quality Models done: 0 ms
2013.06.05 17:52:09 INFO  o.s.s.s.RegisterNewMeasureFilters  Register measure filters...
2013.06.05 17:52:09 INFO  o.s.s.s.RegisterNewMeasureFilters  Register measure filters done: 0 ms
2013.06.05 17:52:09 INFO  o.s.s.s.RegisterNewDashboards  Register dashboards...
2013.06.05 17:52:09 INFO  o.s.s.s.RegisterNewDashboards  Register dashboards done: 16 ms
2013.06.05 17:52:09 INFO  o.s.s.s.RenameDeprecatedPropertyKeys  Rename deprecated property keys
2013.06.05 17:52:09 INFO  org.sonar.INFO  Start components done: 7318 ms
2013.06.05 17:52:09 INFO  jruby.rack  jruby 1.6.8 (ruby-1.8.7-p357) (2012-09-18 1772b40) (Java HotSpot(TM) Client VM 1.7.0) [Windows 7-x86-java]
2013.06.05 17:52:09 INFO  jruby.rack  using a shared (threadsafe!) runtime
INFO   | jvm 1    | 2013/06/05 17:52:14 | JRuby limited openssl loaded. http://jruby.org/openssl
INFO   | jvm 1    | 2013/06/05 17:52:14 | gem install jruby-openssl for full support.
INFO   | jvm 1    | 2013/06/05 17:52:21 | 2013-06-05 17:52:21.906:INFO::Started SelectChannelConnector@0.0.0.0:9000
2013.06.05 17:55:45 INFO  org.sonar.INFO  Code colorizer, supported languages: grvy,java
STATUS | wrapper  | 2013/06/06 11:48:32 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/06/06 11:48:32 | Launching a JVM...
INFO   | jvm 1    | 2013/06/06 11:48:35 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2013/06/06 11:48:35 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2013/06/06 11:48:35 | 
INFO   | jvm 1    | 2013/06/06 11:48:35 | 2013-06-06 11:48:35.122:INFO::Logging to org.sonar.application.FilteredLogger@19fc023 via org.sonar.application.FilteredLogger
INFO   | jvm 1    | 2013/06/06 11:48:35 | 2013-06-06 11:48:35.153:INFO::jetty-6.1.25
INFO   | jvm 1    | 2013/06/06 11:48:37 | 2013-06-06 11:48:37.915:INFO::NO JSP Support for /, did not find org.apache.jasper.servlet.JspServlet
2013.06.06 11:48:38 INFO  o.s.s.p.ServerImpl  Sonar Server / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.06.06 11:48:41 INFO  o.s.s.d.EmbeddedDatabase  Starting embedded database on port 9092 with url jdbc:h2:tcp://localhost:9092/sonar
2013.06.06 11:48:41 INFO  o.s.s.d.EmbeddedDatabase  Embedded database started. Data stored in: C:\work\sonar-3.5.1\data
2013.06.06 11:48:41 WARN  o.s.c.p.DefaultDatabase  H2 database should be used for evaluation purpose only
2013.06.06 11:48:41 INFO  o.s.c.p.Database  Create JDBC datasource for jdbc:h2:tcp://localhost:9092/sonar
2013.06.06 11:48:42 INFO  o.s.s.p.DefaultServerFileSystem  Sonar home: C:\work\sonar-3.5.1
2013.06.06 11:48:42 INFO  o.s.s.p.DefaultServerFileSystem  Deploy dir: C:\work\sonar-3.5.1\war\sonar-server\deploy
2013.06.06 11:48:43 INFO  org.sonar.INFO  Install plugins...
2013.06.06 11:48:44 INFO  o.s.s.p.PluginDeployer  Deploy plugin Findbugs / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.06.06 11:48:44 INFO  o.s.s.p.PluginDeployer  Deploy plugin Groovy / 0.6 / 2418390b988d1f8acc5bf7c6689a7aa9d6d75722
2013.06.06 11:48:45 INFO  o.s.s.p.PluginDeployer  Deploy plugin JaCoCo / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.06.06 11:48:45 INFO  o.s.s.p.PluginDeployer  Deploy plugin English Pack / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.06.06 11:48:45 INFO  o.s.s.p.PluginDeployer  Deploy plugin Surefire / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.06.06 11:48:45 INFO  o.s.s.p.PluginDeployer  Deploy plugin Duplications / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.06.06 11:48:45 INFO  o.s.s.p.PluginDeployer  Deploy plugin Checkstyle / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.06.06 11:48:45 INFO  o.s.s.p.PluginDeployer  Deploy plugin PMD / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.06.06 11:48:45 INFO  o.s.s.p.PluginDeployer  Deploy plugin Java / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.06.06 11:48:45 INFO  o.s.s.p.PluginDeployer  Deploy plugin Core / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.06.06 11:48:45 INFO  o.s.s.p.PluginDeployer  Deploy plugin Database Cleaner / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.06.06 11:48:45 INFO  o.s.s.p.PluginDeployer  Deploy plugin Cobertura / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.06.06 11:48:45 INFO  o.s.s.p.PluginDeployer  Deploy plugin Squid for Java / 1.2 / fa2ebfbbfc301afba0df400ecf6be9ae9dfff616
2013.06.06 11:48:45 INFO  o.s.s.p.PluginDeployer  Deploy plugin Email notifications / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.06.06 11:48:45 INFO  o.s.s.p.PluginDeployer  Deploy plugin Design / 3.5.1 / 9ef6831f4611003603ec21c75b4205be65f63d33
2013.06.06 11:48:45 INFO  org.sonar.INFO  Install plugins done: 2153 ms
2013.06.06 11:48:45 INFO  o.s.s.p.ApplicationDeployer  Deploy Ruby on Rails applications
2013.06.06 11:48:45 INFO  org.sonar.INFO  Start components...
2013.06.06 11:48:46 INFO  o.s.j.s.AbstractDatabaseConnector  Initializing Hibernate
2013.06.06 11:48:48 INFO  o.s.s.n.NotificationService  Notification service started (delay 60 sec.)
2013.06.06 11:48:49 INFO  org.sonar.INFO  Deploy GWT plugins...
2013.06.06 11:48:49 INFO  org.sonar.INFO  Deploy org.sonar.plugins.design.ui.libraries.LibrariesPage to C:\work\sonar-3.5.1\war\sonar-server\deploy\gwt
2013.06.06 11:48:50 INFO  org.sonar.INFO  Deploy org.sonar.plugins.design.ui.page.DesignPage to C:\work\sonar-3.5.1\war\sonar-server\deploy\gwt
2013.06.06 11:48:50 INFO  org.sonar.INFO  Deploy GWT plugins done: 1107 ms
2013.06.06 11:48:50 INFO  org.sonar.INFO  Load metrics...
2013.06.06 11:48:51 INFO  org.sonar.INFO  cleaning alert thresholds...
2013.06.06 11:48:51 INFO  org.sonar.INFO  Load metrics done: 596 ms
2013.06.06 11:48:51 INFO  org.sonar.INFO  Register rules [findbugs/java]...
2013.06.06 11:48:51 INFO  org.sonar.INFO  414 rules
2013.06.06 11:48:51 INFO  org.sonar.INFO  Register rules [findbugs/java] done: 340 ms
2013.06.06 11:48:51 INFO  org.sonar.INFO  Register rules [grvy/grvy]...
2013.06.06 11:48:51 INFO  org.sonar.INFO  286 rules
2013.06.06 11:48:51 INFO  org.sonar.INFO  Register rules [grvy/grvy] done: 170 ms
2013.06.06 11:48:51 INFO  org.sonar.INFO  Register rules [checkstyle/java]...
2013.06.06 11:48:51 INFO  org.sonar.INFO  128 rules
2013.06.06 11:48:52 INFO  org.sonar.INFO  Register rules [checkstyle/java] done: 290 ms
2013.06.06 11:48:52 INFO  org.sonar.INFO  Register rules [pmd/java]...
2013.06.06 11:48:52 INFO  org.sonar.INFO  232 rules
2013.06.06 11:48:52 INFO  org.sonar.INFO  Register rules [pmd/java] done: 430 ms
2013.06.06 11:48:52 INFO  org.sonar.INFO  Register rules [pmd-unit-tests/java]...
2013.06.06 11:48:52 INFO  org.sonar.INFO  10 rules
2013.06.06 11:48:52 INFO  org.sonar.INFO  Register rules [pmd-unit-tests/java] done: 50 ms
2013.06.06 11:48:52 INFO  org.sonar.INFO  Register rules [squid/java]...
2013.06.06 11:48:52 INFO  org.sonar.INFO  18 rules
2013.06.06 11:48:52 INFO  org.sonar.INFO  Register rules [squid/java] done: 80 ms
2013.06.06 11:48:52 INFO  org.sonar.INFO  Register rules [common-java/java]...
2013.06.06 11:48:52 INFO  org.sonar.INFO  6 rules
2013.06.06 11:48:52 INFO  org.sonar.INFO  Register rules [common-java/java] done: 10 ms
2013.06.06 11:48:52 INFO  org.sonar.INFO  Disable deprecated user rules...
2013.06.06 11:48:52 INFO  org.sonar.INFO  Disable deprecated user rules done: 30 ms
2013.06.06 11:48:52 INFO  o.s.s.s.RegisterNewProfiles  Register Quality Profiles...
2013.06.06 11:48:54 INFO  o.s.s.s.RegisterNewProfiles  Register Quality Profiles done: 2184 ms
2013.06.06 11:48:55 INFO  o.s.s.s.RegisterQualityModels  Register Quality Models...
2013.06.06 11:48:55 INFO  o.s.s.s.RegisterQualityModels  Register Quality Models done: 0 ms
